neuron_id,source,group,exclusive,n_points,n_points_within_10um,frac_points_within_10um,n_points_within_20um,frac_points_within_20um
636667489,EM,projection,True,3754,23,0.006126798082045818,43,0.011454448588172616
642664141,EM,projection,True,4362,46,0.01054562127464466,64,0.014672168729940394
643830129,EM,projection,True,8752,128,0.014625228519195612,312,0.0356489945155393
644417074,EM,projection,True,6296,81,0.01286531130876747,107,0.016994917407878018
673085197,EM,projection,True,9721,46,0.004732023454377122,76,0.007818125707231767
673509195,EM,projection,True,57849,391,0.006758975954640529,472,0.00815917301941261
673518025,EM,projection,True,2754,22,0.007988380537400145,47,0.017066085693536674
674807824,EM,projection,True,13641,65,0.004765046550839381,105,0.007697382889817462
676573560,EM,projection,True,3364,27,0.00802615933412604,54,0.01605231866825208
700486220,EM,projection,True,2482,102,0.0410958904109589,312,0.12570507655116842
702389193,EM,projection,True,3646,80,0.021941854086670324,148,0.0405924300603401
736174181,EM,projection,True,10854,119,0.010963700018426387,170,0.015662428597751982
