fc_id,em_id,conf,group,nblast_official
TH-F-200085,1131827390,0.8,D2_dense,0.44772053266914474
TH-F-300037,331662710,1.0,D2_dense,0.4331299444205933
TH-F-300046,1131827390,0.8,D2_dense,0.38897059051968486
TH-F-300062,5813060068,0.8,D2_dense,0.5410722375734256
TH-F-300078,5813071348,0.9,D2_dense,0.40758809836398224
TH-F-700015,1224941044,0.9,D2_dense,0.38216277530859033
TH-M-000029,859265651,0.8,D2_dense,0.50526119743491
TH-M-000029,510049477,0.6,D2_dense,0.34151404691828235
TH-M-000030,792692885,0.1,D2_dense,0.04037354711920631
TH-M-000045,331662710,1.0,D2_dense,0.2238787196360502
TH-M-100016,331662710,1.0,D2_dense,0.13911545427367497
TH-M-100027,947573616,0.2,D2_dense,0.3089811008419975
TH-M-100027,5813054384,0.7,D2_dense,0.3154459436750663
TH-M-100057,1198330286,0.8,D2_dense,0.37864242746669263
TH-M-100063,1198330286,0.8,D2_dense,0.37672198248124467
TH-M-200010,422738252,0.9,D2_dense,0.37245110407542303
TH-M-200013,5813062871,0.9,D2_dense,0.29902313960542426
TH-M-200034,5813054384,0.8,D2_dense,0.32841512372177706
TH-M-200034,947573616,0.2,D2_dense,0.30294660093985876
TH-M-200049,331662710,1.0,D2_dense,0.2660346373239517
TH-M-200064,331662710,1.0,D2_dense,0.17157947562310064
TH-M-200095,422738252,0.9,D2_dense,0.34082757685981646
TH-M-300005,1131827390,0.9,D2_dense,0.33693469671243076
TH-M-300063,5813009595,0.8,D2_dense,0.33185144163509184
Trh-F-100001,1225290633,0.6,D2_dense,0.38936953853445944
Trh-F-100038,1671638278,0.9,D2_dense,0.3357339880653512
Trh-F-100066,5813062858,0.9,D2_dense,0.5196216245655183
Trh-F-300112,957506896,0.9,D2_dense,0.41762803813032356
Trh-F-400055,957506896,0.9,D2_dense,0.43810299934107777
Trh-M-000172,1671638278,0.9,D2_dense,0.3105189129573317
Trh-M-100020,361312808,0.8,D2_dense,0.28097388873273305
Trh-M-100025,1225290633,0.6,D2_dense,0.3855680290633685
Trh-M-100025,5813062858,0.8,D2_dense,0.47950935649286236
Trh-M-100037,1671638278,0.9,D2_dense,0.2865441866939945
Trh-M-100060,297230760,0.8,D2_dense,0.3832264937115155
Trh-M-100060,361312808,0.9,D2_dense,0.33551155842229546
Trh-M-100071,673746277,0.2,D2_dense,0.25661759008776464
Trh-M-100071,1225290633,0.6,D2_dense,0.3715574138560844
Trh-M-200043,5813054716,0.4,D2_dense,0.4945269844009418
Trh-M-300071,977339122,0.7,D2_dense,0.23007009395275768
Trh-M-300138,922069357,0.9,D2_dense,0.29612633839223923
Trh-M-300138,832016427,0.9,D2_dense,0.2851470943360317
Trh-M-300138,957506896,0.9,D2_dense,0.2971470976261516
Trh-M-300140,5813053851,0.9,D2_dense,0.2539567062028616
Trh-M-300140,957506896,0.9,D2_dense,0.2676263364646076
Trh-M-400023,5813053851,0.9,D2_dense,0.32457743176324333
Trh-M-400052,957506896,0.9,D2_dense,0.31384251436584765
Trh-M-400052,5813053851,0.9,D2_dense,0.2805534711253475
Trh-M-400110,5813053851,0.9,D2_dense,0.31767328306268733
Trh-M-400110,5813065004,0.7,D2_dense,0.3317288939302665
Trh-M-400131,832016427,0.9,D2_dense,0.26823375886891837
Trh-M-500163,922354084,0.9,D2_dense,0.3343288800831804
Trh-M-500163,829598814,0.9,D2_dense,0.33323116866557617
VGlut-F-000016,5813027276,0.8,D2_dense,0.40709300656205577
VGlut-F-000016,950880008,0.8,D2_dense,0.5644253045266603
VGlut-F-000111,5812987694,0.4,D2_dense,0.1431132037417829
VGlut-F-000111,5813021583,0.5,D2_dense,0.33258281306971976
VGlut-F-000158,298254384,0.7,D2_dense,0.4289599654729973
VGlut-F-000158,5813020785,0.6,D2_dense,0.3219604265586078
VGlut-F-000177,5813056321,0.8,D2_dense,0.4027468984944147
VGlut-F-000303,5813011119,0.8,D2_dense,0.46315616493410244
VGlut-F-000463,1733677514,0.9,D2_dense,0.3015279428267141
VGlut-F-000556,885168486,0.8,D2_dense,0.4773069495535738
VGlut-F-100002,914778159,0.7,D2_dense,0.194577355999331
VGlut-F-100003,1671638278,0.9,D2_dense,0.2945573107605437
VGlut-F-100035,575768294,0.8,D2_dense,0.3009568020279424
VGlut-F-100125,1107081827,0.8,D2_dense,0.2166064470120867
VGlut-F-200036,797442049,0.7,D2_dense,0.3816082023652505
VGlut-F-200036,5813059915,0.3,D2_dense,0.11312436221354966
VGlut-F-200062,297251714,0.6,D2_dense,0.40233083796467595
VGlut-F-200062,296139882,0.6,D2_dense,0.394921846147481
VGlut-F-200459,5813011119,0.8,D2_dense,0.4369175167571966
VGlut-F-300438,329566197,0.9,D2_dense,0.3905512008361941
VGlut-F-400049,297917475,0.8,D2_dense,0.35903802260128337
VGlut-F-400184,1762359683,0.0,D2_dense,0.3013515310485196
VGlut-F-400184,1667251683,0.5,D2_dense,0.3465133671516698
VGlut-F-400334,447599745,0.8,D2_dense,0.352273275090245
VGlut-F-400757,5813039309,0.0,D2_dense,0.2774896428803149
VGlut-F-400757,1670597533,0.0,D2_dense,0.3085636178362353
VGlut-F-400898,1762359683,0.0,D2_dense,0.34224218593973016
VGlut-F-400898,1916800213,0.0,D2_dense,0.3049684666986365
VGlut-F-500002,5813011298,0.7,D2_dense,0.36274809736246144
VGlut-F-500335,1762359683,0.0,D2_dense,0.26213407385919274
VGlut-F-500335,5813039309,0.0,D2_dense,0.21423513407276992
VGlut-F-500876,1640555311,0.0,D2_dense,0.3123798910091361
VGlut-F-500876,1639886198,0.0,D2_dense,0.3174057643219865
VGlut-F-600204,5813061218,0.9,D2_dense,0.21674230643219836
VGlut-F-700261,5813047489,0.7,D2_dense,0.34403222270166767
VGlut-F-700261,5813057579,0.4,D2_dense,0.15025089315068296
VGlut-F-800130,1671620613,0.6,D2_dense,0.25459890904577515
VGlut-F-800130,1762359683,0.7,D2_dense,0.4174898983431883
fru-F-000094,422751191,0.7,D2_dense,0.3155291351979338
fru-F-000131,360591860,0.7,D2_dense,0.3926119336434378
fru-F-000131,298258611,0.8,D2_dense,0.40439016169419684
fru-F-000131,5812980529,0.8,D2_dense,0.44591001637674804
fru-M-000335,673776769,0.7,D2_dense,0.27992072752639685
fru-M-000339,329289084,0.8,D2_dense,0.21503238873145603
