fc_id,em_id,group
Trh-M-100071,614081151,dense
Cha-F-300267,298258399,dense
VGlut-F-400334,576825965,dense
Trh-M-700039,1043117106,dense
Trh-M-100071,922069357,dense
TH-F-200064,5813055800,dense
Trh-F-100038,704699661,dense
VGlut-F-100035,5813011119,dense
TH-F-300078,736860990,dense
Trh-F-100066,614081151,dense
TH-F-200096,5813020673,dense
Trh-M-100025,614081151,dense
VGlut-F-200062,417221397,dense
Trh-M-100020,328611004,dense
TH-F-100095,329970706,dense
TH-M-300005,423101189,dense
VGlut-F-100035,636789034,dense
Trh-F-100066,5813057861,dense
TH-F-200096,5813055800,dense
TH-F-000091,298258399,dense
VGlut-F-000177,1042656011,dense
Trh-M-100025,705795727,dense
TH-M-200013,1192019859,dense
TH-F-100050,5813041180,dense
Trh-M-100037,704699661,dense
Trh-M-700039,456847100,dense
TH-F-000012,579912201,dense
Trh-F-100066,5813009620,dense
Trh-F-100001,614081151,dense
Trh-M-100025,5813057861,dense
fru-F-000131,297925608,dense
Trh-F-000008,704699661,dense
Trh-M-100037,1727979406,dense
VGlut-F-100125,1135837629,dense
VGlut-F-400334,736860990,dense
TH-F-200096,387568523,dense
Trh-F-100038,693927941,dense
Trh-M-100025,5813060787,dense
VGlut-F-000303,698569644,dense
Trh-F-100001,642694410,dense
VGlut-F-100003,704699661,dense
VGlut-F-000177,1479156699,dense
TH-F-000010,331774819,dense
TH-F-000010,543821838,dense
VGlut-F-700261,1352684733,dense
TH-M-300005,1036637638,dense
VGlut-F-100125,640194409,dense
TH-F-100050,1160073701,dense
Trh-M-700039,329897255,dense
TH-M-000008,581746661,dense
VGlut-F-400334,5813011660,dense
TH-F-200081,387568523,dense
TH-F-100083,298258399,dense
VGlut-F-200251,424793122,dense
TH-F-300078,447599745,dense
TH-F-100050,975197713,dense
Cha-F-500071,828455033,dense
Gad1-F-500004,5813021943,dense
TH-M-200035,5813021943,dense
VGlut-F-100003,693927941,dense
Trh-M-100037,693927941,dense
TH-F-300078,667266529,dense
TH-F-100036,331774819,dense
VGlut-F-000177,515049524,dense
Cha-F-500071,764377593,dense
Trh-F-000008,1727979406,dense
Trh-F-000008,693927941,dense
VGlut-F-700261,5813040277,dense
Trh-M-100037,5812982656,dense
TH-M-100063,1572390197,dense
VGlut-F-700261,859839499,dense
VGlut-F-400334,5812980494,dense
VGlut-F-100003,5812982656,dense
TH-M-100057,1572390197,dense
TH-M-000008,611693656,dense
VGlut-F-000177,1354368623,dense
fru-F-000131,328265389,dense
Trh-F-100038,5812982656,dense
TH-M-100057,5813069496,dense
Cha-F-300267,328601956,dense
Gad1-F-500004,5813057153,dense
Trh-F-000008,5812982656,dense
Cha-F-500071,1013346945,dense
Cha-F-000329,5813078595,dense
Gad1-F-500004,452953198,dense
TH-M-200035,452953198,dense
TH-M-200035,696850811,dense
TH-M-100057,925241334,dense
TH-M-000008,520617773,dense
Trh-F-100038,549597974,dense
TH-F-300037,267551639,dense
TH-M-100057,1048250312,dense
TH-M-200049,267551639,dense
fru-F-000131,543821838,dense
TH-F-200034,327937328,dense
fru-F-000131,391496898,dense
Gad1-F-500004,544046671,dense
TH-F-200034,267551639,dense
TH-M-000045,267551639,dense
fru-F-000131,361704572,dense
TH-F-200106,727652372,dense
VGlut-F-100003,549597974,dense
TH-F-000012,667266529,dense
VGlut-F-100125,329566174,dense
VGlut-F-200251,514850616,dense
VGlut-F-000556,915481348,dense
TH-F-200106,1134107162,dense
VGlut-F-100125,5813020347,dense
TH-F-200106,884916323,dense
VGlut-F-200251,5813011133,dense
VGlut-F-100125,488922181,dense
TH-M-100063,1443135486,dense
VGlut-F-000556,978177557,dense
VGlut-F-000556,945058110,dense
VGlut-F-000556,944720631,dense
Cha-F-000329,451982486,dense
TH-F-000012,573333835,dense
fru-M-300299,548993536,dense
TH-M-100063,1449618949,dense
TH-M-000030,1630051981,dense
TH-M-300063,5812981000,dense
Cha-F-000009,1048215779,projection
Cha-F-000009,1078693835,projection
Cha-F-400112,1224258912,projection
Cha-F-400112,5813022925,projection
Cha-F-400201,1639886198,projection
Cha-F-400201,1640555311,projection
Cha-F-800086,579916831,projection
Cha-F-800086,5812981543,projection
E0585-F-200015,457175171,projection
E0585-F-200015,518899665,projection
E0585-F-300042,457175171,projection
E0585-F-300042,642664141,projection
fru-F-200052,1228683492,projection
fru-F-200052,456156825,projection
fru-F-400010,862705904,projection
fru-F-400010,1173745330,projection
fru-F-400071,1205090786,projection
fru-F-400071,1173745330,projection
fru-F-400141,862705904,projection
fru-F-400141,1142356576,projection
fru-F-400196,1100792636,projection
fru-F-400196,1141324564,projection
fru-F-400214,983759126,projection
fru-F-400214,1173045815,projection
fru-F-400229,5813087817,projection
fru-F-400229,1700644008,projection
