fc,em,similarity score
1107081827,VGlut-F-100125,0.2417647222732531
VGlut-F-200036,797442049,0.4471053992603545
797442049,VGlut-F-200036,0.3217166517090439
VGlut-F-200036,5813059915,0.0868933093967998
5813059915,VGlut-F-200036,0.0495070035302611
VGlut-F-200062,297251714,0.4438474628335882
297251714,VGlut-F-200062,0.3912503885531777
VGlut-F-200062,296139882,0.4489517259991754
296139882,VGlut-F-200062,0.3725059976446675
VGlut-F-200459,5813011119,0.4780255928774438
5813011119,VGlut-F-200459,0.4305659595731776
VGlut-F-300438,329566197,0.4820283057312358
329566197,VGlut-F-300438,0.4375910778221314
VGlut-F-400049,297917475,0.4567481488616237
297917475,VGlut-F-400049,0.4230007219845969
VGlut-F-400184,1762359683,0.30962164545
1762359683,VGlut-F-400184,0.2855068579488781
VGlut-F-400184,1667251683,0.4041419412184926
1667251683,VGlut-F-400184,0.266412636040044
VGlut-F-400334,447599745,0.3553823900502065
447599745,VGlut-F-400334,0.4087174849466209
VGlut-F-400757,5813039309,0.2748347132650441
5813039309,VGlut-F-400757,0.2773058268898962
VGlut-F-400757,1670597533,0.3285110936424766
1670597533,VGlut-F-400757,0.2644971034378002
VGlut-F-400898,1762359683,0.3389130338175431
1762359683,VGlut-F-400898,0.3456896183471398
VGlut-F-400898,1916800213,0.2905443848433587
1916800213,VGlut-F-400898,0.33422555492898
VGlut-F-500002,5813011298,0.4040215079731623
5813011298,VGlut-F-500002,0.3607042083077094
VGlut-F-500335,1762359683,0.258458056054012
1762359683,VGlut-F-500335,0.2652971843482331
VGlut-F-500335,5813039309,0.1555685626161594
5813039309,VGlut-F-500335,0.2654550684281826
VGlut-F-500876,1640555311,0.2918945018946889
1640555311,VGlut-F-500876,0.303276645492781
VGlut-F-500876,1639886198,0.3108977777108163
1639886198,VGlut-F-500876,0.3050746260723483
VGlut-F-600204,5813061218,0.2343162363101327
5813061218,VGlut-F-600204,0.192221299151744
VGlut-F-700261,5813047489,0.3309933525551434
5813047489,VGlut-F-700261,0.3358030362202403
VGlut-F-700261,5813057579,0.1079667405083276
5813057579,VGlut-F-700261,0.1936765096591425
VGlut-F-800130,1671620613,0.2618105795677741
1671620613,VGlut-F-800130,0.233537954597131
VGlut-F-800130,1762359683,0.4551548891106451
1762359683,VGlut-F-800130,0.3641278405466535
fru-F-000094,422751191,0.3093605418308361
422751191,fru-F-000094,0.2896812183791542
fru-F-000131,360591860,0.4682375562550216
360591860,fru-F-000131,0.4365610253541129
fru-F-000131,298258611,0.4607224303445389
298258611,fru-F-000131,0.4213355396826364
fru-F-000131,5812980529,0.4625865466566038
5812980529,fru-F-000131,0.5215638861309885
fru-M-000335,673776769,0.2820741512383352
673776769,fru-M-000335,0.2338609911254953
fru-M-000339,329289084,0.1820424035721774
329289084,fru-M-000339,0.1737145818405769
fru-M-000339,452029745,0.2242675968440835
452029745,fru-M-000339,0.174717709412204
fru-M-300299,579268807,0.2646907436210928
579268807,fru-M-300299,0.2382793335594207
npf-M-300037,5813069630,0.2409954889642864
5813069630,npf-M-300037,0.2676460608322374
Cha-F-000088,1670597533,0.3541488452592147
1670597533,Cha-F-000088,0.2926982103589201
Cha-F-000239,1672320134,0.092973551307595
1672320134,Cha-F-000239,0.0642782271060023
Cha-F-000239,5813069085,0.1095345349650196
5813069085,Cha-F-000239,0.0903660459497725
Cha-F-000239,1704347707,0.0001764042624017
1704347707,Cha-F-000239,-0.0109533139126421
Cha-F-200299,950880008,0.4335380154881133
950880008,Cha-F-200299,0.3869734214515736
Cha-F-200299,5813023322,0.2836732299437787
5813023322,Cha-F-200299,0.3302726080257593
Cha-F-200299,5813098368,0.4230938843998117
5813098368,Cha-F-200299,0.4681879688121159
Cha-F-300344,5813047970,0.3743410993390884
5813047970,Cha-F-300344,0.3254572821919491
Cha-F-300344,951916894,0.3575725555966605
951916894,Cha-F-300344,0.3795484525967019
Cha-F-400237,1321564092,0.5506692010922314
1321564092,Cha-F-400237,0.3700840935482052
Cha-F-400237,950880008,0.4682136440086209
950880008,Cha-F-400237,0.3710824070190067
Cha-F-400237,951234513,0.4043194693379698
951234513,Cha-F-400237,0.4533949284602988
Cha-F-800090,361312808,0.2099198679985444
361312808,Cha-F-800090,0.2855367300574307
Cha-F-800090,487144598,0.0438002269223459
487144598,Cha-F-800090,0.0996439863741193
Cha-F-800090,329897255,0.1243498268936931
329897255,Cha-F-800090,0.157236174981379
Gad1-F-000694,5813070613,0.2408533356072606
5813070613,Gad1-F-000694,0.3115332031193157
Gad1-F-000694,5813057853,0.3614873266941238
5813057853,Gad1-F-000694,0.3498882426302247
Gad1-F-000694,1383016399,0.2816907188834251
1383016399,Gad1-F-000694,0.2850624204964
Gad1-F-000703,421641859,0.3974526934456654
421641859,Gad1-F-000703,0.2945139185094747
Gad1-F-000703,360259229,0.3053513450546566
360259229,Gad1-F-000703,0.4029130954506221
Gad1-F-200186,1702306037,0.14841426018768
1702306037,Gad1-F-200186,0.0582894625426997
Gad1-F-200186,5813039309,0.0484015414193712
